[28/Jan/2024:19:36:53 +0000] - - 499 - GET https jenkins.hanisntsolo.com "/" [Client 49.36.59.66] [Length 0] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "-"
[28/Jan/2024:19:36:55 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/" [Client 49.36.59.66] [Length 38762] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "-"
[28/Jan/2024:19:36:59 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706470619726" [Client 49.36.59.66] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[28/Jan/2024:19:37:05 +0000] - - 499 - POST https jenkins.hanisntsolo.com "/widget/BuildQueueWidget/ajax" [Client 49.36.59.66] [Length 0] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[28/Jan/2024:19:37:05 +0000] - - 499 - POST https jenkins.hanisntsolo.com "/widget/ExecutorsWidget/ajax" [Client 49.36.59.66] [Length 0] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[28/Jan/2024:19:37:13 +0000] - - 499 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/" [Client 49.36.59.66] [Length 0] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[28/Jan/2024:19:37:15 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/" [Client 49.36.59.66] [Length 31844] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[28/Jan/2024:19:37:20 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706470640698" [Client 49.36.59.66] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[28/Jan/2024:19:37:25 +0000] - - 499 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/wfapi/runs?fullStages=true&_=1706470642026" [Client 49.36.59.66] [Length 0] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[28/Jan/2024:19:37:30 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/lastBuild/" [Client 49.36.59.66] [Length 31301] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[28/Jan/2024:19:37:31 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706470651017" [Client 49.36.59.66] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/lastBuild/"
