2024/06/11 09:56:58 [error] 216#216: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 5.255.231.126, server: oracle-db.hanisntsolo.com, request: "GET /robots.txt HTTP/1.1", upstream: "https://180.233.121.154:9441/robots.txt", host: "oracle-db.hanisntsolo.com"
2024/06/11 09:57:00 [error] 216#216: *10 connect() failed (111: Connection refused) while connecting to upstream, client: 87.250.224.220, server: oracle-db.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:9441/", host: "oracle-db.hanisntsolo.com"
2024/06/12 06:35:41 [error] 219#219: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 198.235.24.102, server: oracle-db.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:9441/", host: "oracle-db.hanisntsolo.com"
2024/06/12 12:33:23 [error] 216#216: *49 connect() failed (111: Connection refused) while connecting to upstream, client: 198.235.24.220, server: oracle-db.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:9441/", host: "oracle-db.hanisntsolo.com"
2024/06/14 17:04:56 [error] 216#216: *123 connect() failed (111: Connection refused) while connecting to upstream, client: 87.236.176.99, server: oracle-db.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:9441/", host: "oracle-db.hanisntsolo.com", referrer: "http://oracle-db.hanisntsolo.com:1081"
2024/06/14 23:59:56 [error] 216#216: *2356 connect() failed (111: Connection refused) while connecting to upstream, client: 54.88.179.33, server: oracle-db.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:9441/", host: "oracle-db.hanisntsolo.com"
2024/06/14 23:59:57 [error] 216#216: *2358 connect() failed (111: Connection refused) while connecting to upstream, client: 35.171.144.152, server: oracle-db.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:9441/", host: "oracle-db.hanisntsolo.com"
2024/06/15 05:07:10 [error] 217#217: *176 connect() failed (111: Connection refused) while connecting to upstream, client: 45.148.10.59, server: oracle-db.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:9441/", host: "oracle-db.hanisntsolo.com"
2024/06/18 05:23:40 [error] 219#219: *218 connect() failed (111: Connection refused) while connecting to upstream, client: 54.175.71.185, server: oracle-db.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:9441/", host: "oracle-db.hanisntsolo.com"
2024/06/18 05:23:41 [error] 219#219: *220 connect() failed (111: Connection refused) while connecting to upstream, client: 54.175.71.185, server: oracle-db.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:9441/", host: "oracle-db.hanisntsolo.com"
2024/06/20 20:18:37 [error] 218#218: *1795 connect() failed (111: Connection refused) while connecting to upstream, client: 139.59.35.248, server: oracle-db.hanisntsolo.com, request: "GET /wp-login.php HTTP/1.1", upstream: "https://180.233.121.154:9441/wp-login.php", host: "oracle-db.hanisntsolo.com"
2024/06/22 06:35:21 [error] 216#216: *7128 connect() failed (111: Connection refused) while connecting to upstream, client: 67.222.157.170, server: oracle-db.hanisntsolo.com, request: "GET /wp-login.php HTTP/1.1", upstream: "https://180.233.121.154:9441/wp-login.php", host: "oracle-db.hanisntsolo.com"
