2024/06/09 16:48:54 [error] 217#217: *18 connect() failed (111: Connection refused) while connecting to upstream, client: 104.234.204.32, server: gg-prod-db.gangagetaways.com, request: "GET /www/.git/config HTTP/1.1", upstream: "https://180.233.121.154:19445/www/.git/config", host: "gg-prod-db.gangagetaways.com"
2024/06/11 03:33:46 [error] 216#216: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 205.210.31.19, server: gg-prod-db.gangagetaways.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:19445/", host: "gg-prod-db.gangagetaways.com"
2024/06/14 19:45:20 [error] 216#216: *1660 connect() failed (111: Connection refused) while connecting to upstream, client: 83.147.52.49, server: gg-prod-db.gangagetaways.com, request: "GET /.git/config HTTP/1.1", upstream: "https://180.233.121.154:19445/.git/config", host: "gg-prod-db.gangagetaways.com"
2024/06/14 20:08:15 [error] 216#216: *1927 connect() failed (111: Connection refused) while connecting to upstream, client: 65.154.226.169, server: gg-prod-db.gangagetaways.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:19445/", host: "gg-prod-db.gangagetaways.com"
2024/06/15 05:17:54 [error] 217#217: *182 connect() failed (111: Connection refused) while connecting to upstream, client: 31.7.58.146, server: gg-prod-db.gangagetaways.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:19445/", host: "gg-prod-db.gangagetaways.com"
2024/06/15 13:54:45 [error] 320#320: *4646 connect() failed (111: Connection refused) while connecting to upstream, client: 205.210.31.13, server: gg-prod-db.gangagetaways.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:19445/", host: "gg-prod-db.gangagetaways.com"
2024/06/18 05:40:35 [error] 219#219: *225 connect() failed (111: Connection refused) while connecting to upstream, client: 85.120.244.156, server: gg-prod-db.gangagetaways.com, request: "GET /wp-login.php HTTP/1.1", upstream: "https://180.233.121.154:19445/wp-login.php", host: "gg-prod-db.gangagetaways.com"
2024/06/19 02:21:45 [error] 217#217: *35 connect() failed (111: Connection refused) while connecting to upstream, client: 138.197.171.174, server: gg-prod-db.gangagetaways.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:19445/", host: "gg-prod-db.gangagetaways.com"
2024/06/19 02:21:46 [error] 217#217: *37 connect() failed (111: Connection refused) while connecting to upstream, client: 138.197.171.174, server: gg-prod-db.gangagetaways.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:19445/", host: "gg-prod-db.gangagetaways.com"
2024/06/21 10:38:02 [error] 216#216: *655 connect() failed (111: Connection refused) while connecting to upstream, client: 45.135.57.32, server: gg-prod-db.gangagetaways.com, request: "GET /.git/HEAD HTTP/1.1", upstream: "https://180.233.121.154:19445/.git/HEAD", host: "gg-prod-db.gangagetaways.com"
2024/06/21 22:14:40 [error] 216#216: *5938 connect() failed (111: Connection refused) while connecting to upstream, client: 35.171.144.152, server: gg-prod-db.gangagetaways.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:19445/", host: "gg-prod-db.gangagetaways.com"
2024/06/21 22:14:41 [error] 216#216: *5940 connect() failed (111: Connection refused) while connecting to upstream, client: 54.88.179.33, server: gg-prod-db.gangagetaways.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:19445/", host: "gg-prod-db.gangagetaways.com"
