2024/06/09 16:00:01 [error] 216#216: *7 SSL_do_handshake() failed (SSL: error:1408F10B:SSL routines:ssl3_get_record:wrong version number) while SSL handshaking to upstream, client: 104.234.204.32, server: mysql.hanisntsolo.com, request: "GET /www/.git/config HTTP/1.1", upstream: "https://180.233.121.154:18033/www/.git/config", host: "mysql.hanisntsolo.com"
2024/06/10 20:23:49 [error] 216#216: *556 SSL_do_handshake() failed (SSL: error:1408F10B:SSL routines:ssl3_get_record:wrong version number) while SSL handshaking to upstream, client: 206.168.34.117, server: mysql.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:18033/", host: "mysql.hanisntsolo.com"
2024/06/11 11:55:31 [error] 216#216: *6 SSL_do_handshake() failed (SSL: error:1408F10B:SSL routines:ssl3_get_record:wrong version number) while SSL handshaking to upstream, client: 134.209.27.48, server: mysql.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:18033/", host: "mysql.hanisntsolo.com"
2024/06/11 11:55:31 [error] 216#216: *8 SSL_do_handshake() failed (SSL: error:1408F10B:SSL routines:ssl3_get_record:wrong version number) while SSL handshaking to upstream, client: 134.209.27.48, server: mysql.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:18033/", host: "mysql.hanisntsolo.com"
2024/06/14 23:01:47 [error] 216#216: *2283 SSL_do_handshake() failed (SSL: error:1408F10B:SSL routines:ssl3_get_record:wrong version number) while SSL handshaking to upstream, client: 83.147.52.49, server: mysql.hanisntsolo.com, request: "GET /.git/config HTTP/1.1", upstream: "https://180.233.121.154:18033/.git/config", host: "mysql.hanisntsolo.com"
2024/06/19 19:29:43 [error] 216#216: *575 SSL_do_handshake() failed (SSL: error:1408F10B:SSL routines:ssl3_get_record:wrong version number) while SSL handshaking to upstream, client: 87.236.176.164, server: mysql.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:18033/", host: "mysql.hanisntsolo.com"
2024/06/20 04:11:30 [error] 216#216: *1727 SSL_do_handshake() failed (SSL: error:1408F10B:SSL routines:ssl3_get_record:wrong version number) while SSL handshaking to upstream, client: 87.236.176.193, server: mysql.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:18033/", host: "mysql.hanisntsolo.com"
2024/06/20 15:58:05 [error] 218#218: *949 SSL_do_handshake() failed (SSL: error:1408F10B:SSL routines:ssl3_get_record:wrong version number) while SSL handshaking to upstream, client: 87.236.176.23, server: mysql.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:18033/", host: "mysql.hanisntsolo.com"
2024/06/21 05:23:32 [error] 216#216: *352 SSL_do_handshake() failed (SSL: error:1408F10B:SSL routines:ssl3_get_record:wrong version number) while SSL handshaking to upstream, client: 87.236.176.7, server: mysql.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:18033/", host: "mysql.hanisntsolo.com"
2024/06/21 09:17:35 [error] 216#216: *555 SSL_do_handshake() failed (SSL: error:1408F10B:SSL routines:ssl3_get_record:wrong version number) while SSL handshaking to upstream, client: 205.210.31.90, server: mysql.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:18033/", host: "mysql.hanisntsolo.com"
2024/06/22 03:26:34 [error] 216#216: *6396 SSL_do_handshake() failed (SSL: error:1408F10B:SSL routines:ssl3_get_record:wrong version number) while SSL handshaking to upstream, client: 147.185.132.46, server: mysql.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:18033/", host: "mysql.hanisntsolo.com"
2024/06/22 06:19:09 [error] 216#216: *6674 SSL_do_handshake() failed (SSL: error:1408F10B:SSL routines:ssl3_get_record:wrong version number) while SSL handshaking to upstream, client: 54.88.179.33, server: mysql.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:18033/", host: "mysql.hanisntsolo.com"
2024/06/22 06:19:10 [error] 216#216: *6676 SSL_do_handshake() failed (SSL: error:1408F10B:SSL routines:ssl3_get_record:wrong version number) while SSL handshaking to upstream, client: 35.171.144.152, server: mysql.hanisntsolo.com, request: "GET / HTTP/1.1", upstream: "https://180.233.121.154:18033/", host: "mysql.hanisntsolo.com"
