2024/01/01 05:40:50 [error] 1022#1022: *260 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/3mFU0h-We0XoSs3Uq2gctLGl57oL_ZaJQDlUv4BKYaw" failed (2: No such file or directory), client: 23.178.112.201, server: nginx-proxy.hanisntsolo.online, request: "GET /.well-known/acme-challenge/3mFU0h-We0XoSs3Uq2gctLGl57oL_ZaJQDlUv4BKYaw HTTP/1.1", host: "nginx-proxy.hanisntsolo.online", referrer: "http://nginx-proxy.hanisntsolo.online/.well-known/acme-challenge/3mFU0h-We0XoSs3Uq2gctLGl57oL_ZaJQDlUv4BKYaw"
2024/01/01 06:35:03 [error] 1275#1275: *1306 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/w4eONOySsUUfRqmsKowmz6nRJD3Z2uA5AAwcr2FYJA0" failed (2: No such file or directory), client: 3.128.255.252, server: nginx-proxy.hanisntsolo.online, request: "GET /.well-known/acme-challenge/w4eONOySsUUfRqmsKowmz6nRJD3Z2uA5AAwcr2FYJA0 HTTP/1.1", host: "nginx-proxy.hanisntsolo.online", referrer: "http://nginx-proxy.hanisntsolo.online/.well-known/acme-challenge/w4eONOySsUUfRqmsKowmz6nRJD3Z2uA5AAwcr2FYJA0"
2024/01/01 06:35:03 [error] 1273#1273: *1308 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/w4eONOySsUUfRqmsKowmz6nRJD3Z2uA5AAwcr2FYJA0" failed (2: No such file or directory), client: 23.178.112.108, server: nginx-proxy.hanisntsolo.online, request: "GET /.well-known/acme-challenge/w4eONOySsUUfRqmsKowmz6nRJD3Z2uA5AAwcr2FYJA0 HTTP/1.1", host: "nginx-proxy.hanisntsolo.online", referrer: "http://nginx-proxy.hanisntsolo.online/.well-known/acme-challenge/w4eONOySsUUfRqmsKowmz6nRJD3Z2uA5AAwcr2FYJA0"
2024/01/01 06:35:03 [error] 1275#1275: *1307 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/w4eONOySsUUfRqmsKowmz6nRJD3Z2uA5AAwcr2FYJA0" failed (2: No such file or directory), client: 34.220.222.78, server: nginx-proxy.hanisntsolo.online, request: "GET /.well-known/acme-challenge/w4eONOySsUUfRqmsKowmz6nRJD3Z2uA5AAwcr2FYJA0 HTTP/1.1", host: "nginx-proxy.hanisntsolo.online", referrer: "http://nginx-proxy.hanisntsolo.online/.well-known/acme-challenge/w4eONOySsUUfRqmsKowmz6nRJD3Z2uA5AAwcr2FYJA0"
2024/01/01 07:38:23 [error] 1521#1521: *1356 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/WceIM-PiI44zYM37EzO4d3UbPszlAFEAjWKbfEgCBwE" failed (2: No such file or directory), client: 3.128.255.252, server: nginx-proxy.hanisntsolo.online, request: "GET /.well-known/acme-challenge/WceIM-PiI44zYM37EzO4d3UbPszlAFEAjWKbfEgCBwE HTTP/1.1", host: "nginx-proxy.hanisntsolo.online", referrer: "http://nginx-proxy.hanisntsolo.online/.well-known/acme-challenge/WceIM-PiI44zYM37EzO4d3UbPszlAFEAjWKbfEgCBwE"
2024/01/01 07:38:23 [error] 1521#1521: *1357 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/WceIM-PiI44zYM37EzO4d3UbPszlAFEAjWKbfEgCBwE" failed (2: No such file or directory), client: 23.178.112.105, server: nginx-proxy.hanisntsolo.online, request: "GET /.well-known/acme-challenge/WceIM-PiI44zYM37EzO4d3UbPszlAFEAjWKbfEgCBwE HTTP/1.1", host: "nginx-proxy.hanisntsolo.online", referrer: "http://nginx-proxy.hanisntsolo.online/.well-known/acme-challenge/WceIM-PiI44zYM37EzO4d3UbPszlAFEAjWKbfEgCBwE"
2024/01/01 07:38:23 [error] 1521#1521: *1358 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/WceIM-PiI44zYM37EzO4d3UbPszlAFEAjWKbfEgCBwE" failed (2: No such file or directory), client: 34.220.222.78, server: nginx-proxy.hanisntsolo.online, request: "GET /.well-known/acme-challenge/WceIM-PiI44zYM37EzO4d3UbPszlAFEAjWKbfEgCBwE HTTP/1.1", host: "nginx-proxy.hanisntsolo.online", referrer: "http://nginx-proxy.hanisntsolo.online/.well-known/acme-challenge/WceIM-PiI44zYM37EzO4d3UbPszlAFEAjWKbfEgCBwE"
2024/01/01 08:39:43 [error] 1772#1772: *1419 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/AuozYX4jicd9_Rk5tM8vd7YgDF2IFdQoO6jNbs7Fdfw" failed (2: No such file or directory), client: 35.92.145.233, server: nginx-proxy.hanisntsolo.online, request: "GET /.well-known/acme-challenge/AuozYX4jicd9_Rk5tM8vd7YgDF2IFdQoO6jNbs7Fdfw HTTP/1.1", host: "nginx-proxy.hanisntsolo.online", referrer: "http://nginx-proxy.hanisntsolo.online/.well-known/acme-challenge/AuozYX4jicd9_Rk5tM8vd7YgDF2IFdQoO6jNbs7Fdfw"
2024/01/01 08:39:43 [error] 1772#1772: *1420 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/AuozYX4jicd9_Rk5tM8vd7YgDF2IFdQoO6jNbs7Fdfw" failed (2: No such file or directory), client: 23.178.112.106, server: nginx-proxy.hanisntsolo.online, request: "GET /.well-known/acme-challenge/AuozYX4jicd9_Rk5tM8vd7YgDF2IFdQoO6jNbs7Fdfw HTTP/1.1", host: "nginx-proxy.hanisntsolo.online", referrer: "http://nginx-proxy.hanisntsolo.online/.well-known/acme-challenge/AuozYX4jicd9_Rk5tM8vd7YgDF2IFdQoO6jNbs7Fdfw"
2024/01/01 08:39:43 [error] 1772#1772: *1421 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/AuozYX4jicd9_Rk5tM8vd7YgDF2IFdQoO6jNbs7Fdfw" failed (2: No such file or directory), client: 3.128.255.252, server: nginx-proxy.hanisntsolo.online, request: "GET /.well-known/acme-challenge/AuozYX4jicd9_Rk5tM8vd7YgDF2IFdQoO6jNbs7Fdfw HTTP/1.1", host: "nginx-proxy.hanisntsolo.online", referrer: "http://nginx-proxy.hanisntsolo.online/.well-known/acme-challenge/AuozYX4jicd9_Rk5tM8vd7YgDF2IFdQoO6jNbs7Fdfw"
2024/01/01 09:39:27 [error] 2020#2020: *1473 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/ulDyFCFtmFAvu9O724vPxK7lG1v45r_d2jjZi-AI3gs" failed (2: No such file or directory), client: 35.92.145.233, server: nginx-proxy.hanisntsolo.online, request: "GET /.well-known/acme-challenge/ulDyFCFtmFAvu9O724vPxK7lG1v45r_d2jjZi-AI3gs HTTP/1.1", host: "nginx-proxy.hanisntsolo.online", referrer: "http://nginx-proxy.hanisntsolo.online/.well-known/acme-challenge/ulDyFCFtmFAvu9O724vPxK7lG1v45r_d2jjZi-AI3gs"
